BRAND,TYPE,CC,TRANS,FUEL,TANK_CAPT,GVW (Kg),GEAR_RATIO,WHEEL_&_TYRE_SIZE,HP,WHEEL_BASE,Dimention,SEATER,DRIVE_SYS,penggerak,SPEED,DOOR,WHEELS,CBU/CKD,ORIGIN COUNTRY
DFSK,GLORY  I-AUTO,1498,AT,G,58,2035,-,225/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CBU,INA
DFSK,GLORY  580 1.5T A/T CVT COMFORT,1498,AT,G,58,2035,-,226/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA
DFSK,GLORY  580 1.5 M/T COMFORT,1498,MT,G,58,2035,-,225/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA
DFSK,GLORY  580 1.5T M/T LUXURY,1498,MT,G,58,2035,-,226/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA
DFSK,GLORY  580 1.5T A/T CVT LUXURY,1498,AT,G,58,2035,-,226/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA
DFSK,GLORY  560 1.5T 6M/T BASIC,1498,MT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA
DFSK,GLORY  560 1.5T 6M/T COMFORT,1498,MT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA
DFSK,GLORY  560 1.5T 6M/T LUXURY,1498,MT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA
DFSK,GLORY  560 1.5T A/T CVT LUXURY,1498,AT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA
DFSK,GELORA  Blind Van (4X2) M/T,1498,MT,G,55,-,-,185/80 R14,109,3050,4500 X 1680 X 2000,2,4X2,FR,-,4,4,CKD,INA
DFSK,GELORA  C36 MINI BUS 1.5 (4X2) M/T,1498,MT,G,55,-,-,185/80 R14,109,3050,4500 X 1680 X 2000,2,4X2,FR,-,4,4,CKD,INA
HONDA,Brio RS,1198,MT,G,35,960,-,-,88,2345,3610 x  1680 x  1485,5,4X2,FF,-,5,4,CKD,INA
HONDA,Brio RS,1198,CVT,G,35,960,-,-,88,2345,3610 x  1680 x  1485,5,4X2,FF,-,5,4,CKD,INA
HONDA,All New  CR-V,1500,CVT,G,58,-,-,-,-,-,-,-,4X2,FF,-,5,4,CKD,INA
HONDA,All New  CR-V  Prestige,1500,CVT,G,58,-,-,-,-,-,-,-,4X2,FF,-,5,4,CKD,INA
HONDA,HR-V  A,1497,MT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA
HONDA,HR-V  S,1497,MT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA
HONDA,HR-V  S,1497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA
HONDA,HR-V  E,1497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA
HONDA,HR-V  E+,1497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA
HONDA,CIVIC 5D E,1500,CVT,G,65,1322,-,17 x  7J,-,2700,4501 x  2075 x  1421,-,4X2,FF,-,5,4,CBU,Thailand
HONDA,All New  Jazz  S 15,1497,CVT,G,42,-,-,16 x  6J,120,2500,3920 x  1695 x  1525,5,4X2,FF,-,5,4,CKD,INA
HONDA,All New  Jazz  RS 15,1497,MT,G,42,-,-,16 x  6J,120,2500,3920 x  1695 x  1525,5,4X2,FF,-,5,4,CKD,INA
HONDA,All New  Jazz  RS 15,1497,CVT,G,42,-,-,16 x  6J,120,2500,3920 x  1695 x  1525,5,4X2,FF,-,5,4,CKD,INA
HONDA,New  Mobilio S,1497,MT,G,42,-,-,15,118,2650,4386 x  1683 x  1603,7,4X2,FF,-,5,4,CKD,INA
HONDA,New  Mobilio E,1497,MT,G,42,-,-,15,118,2650,4386 x  1683 x  1603,7,4X2,FF,-,5,4,CKD,INA
HONDA,New  Mobilio E,1497,CVT,G,42,-,-,15,118,2650,4386 x  1683 x  1603,7,4X2,FF,-,5,4,CKD,INA
HONDA,New  Mobilio RS,1497,MT,G,42,-,-,15,118,2650,4386 x  1683 x  1603,7,4X2,FF,-,5,4,CKD,INA
HONDA,New  Mobilio RS,1497,CVT,G,42,-,-,15,118,2650,4386 x  1683 x  1603,7,4X2,FF,-,5,4,CKD,INA
HONDA,BR-V  S,1500,MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA
HONDA,BR-V  E+,1500,MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA
HONDA,BR-V  E+,1500,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA
HONDA,BR-V  E Prestige,1500,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA
HYUNDAI - HIM,Grand i10,1200,MT,G,35,-,-,-,-,-,-,-,4X2,FF,-,4,4,CBU,India
KIA,Picanto EX,1248,AT,G,35,1350,4336,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x  1595 x  1480,5,4X2,FF,-,5,4,CBU,Korea
KIA,Picanto EX,1248,MT,G,35,1350,4056,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x  1595 x  1480,5,4X2,FF,-,5,4,CBU,Korea
KIA,Picanto GT-Line,1248,AT,G,35,1350,4336,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x  1595 x  1480,5,4X2,FF,-,5,4,CBU,Korea
KIA,Picanto GT-Line,1248,MT,G,35,1350,4336,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x  1595 x  1480,5,4X2,FF,-,5,4,CBU,Korea
KIA,All New  Rio,1396,AT,G,43,1600,4375,185/65 R15,79/6300 (kW/rpm),2570,4045 x  1720 x  1455,5,4X2,FF,-,5,4,CBU,Korea
KIA,All New  Rio,1396,MT,G,43,1600,4059,185/65 R15,79/6300 (kW/rpm),2570,4045 x  1720 x  1455,5,4X2,FF,-,5,4,CBU,Korea
KIA,Seltos  EXP,1353,AT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,Korea
KIA,Seltos  EX,1353,AT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,Korea
KIA,Seltos  E,1353,AT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,Korea
KIA,Sonet Premiere,1500,AT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,India
